win = 246, tie = 39, loss = 17
win = 247, tie = 39, loss = 17
win = 248, tie = 39, loss = 17
win = 249, tie = 39, loss = 17
win = 250, tie = 39, loss = 17
win = 251, tie = 39, loss = 17
win = 252, tie = 39, loss = 17
win = 253, tie = 39, loss = 17
win = 254, tie = 39, loss = 17
win = 255, tie = 39, loss = 17
win = 256, tie = 39, loss = 17
win = 257, tie = 39, loss = 17
win = 258, tie = 39, loss = 17
win = 259, tie = 39, loss = 17
win = 260, tie = 39, loss = 17
win = 261, tie = 39, loss = 17
win = 262, tie = 39, loss = 17
win = 263, tie = 39, loss = 17
win = 263, tie = 39, loss = 18
win = 264, tie = 39, loss = 18
win = 265, tie = 39, loss = 18
win = 266, tie = 39, loss = 18
win = 267, tie = 39, loss = 18
win = 268, tie = 39, loss = 18
win = 269, tie = 39, loss = 18
win = 270, tie = 39, loss = 18
win = 271, tie = 39, loss = 18
win = 272, tie = 39, loss = 18
win = 273, tie = 39, loss = 18
win = 274, tie = 39, loss = 18
win = 274, tie = 40, loss = 18
win = 275, tie = 40, loss = 18
win = 275, tie = 41, loss = 18
win = 276, tie = 41, loss = 18
win = 277, tie = 41, loss = 18
win = 278, tie = 41, loss = 18
win = 279, tie = 41, loss = 18
win = 279, tie = 42, loss = 18
win = 279, tie = 42, loss = 19
win = 280, tie = 42, loss = 19
win = 281, tie = 42, loss = 19
win = 282, tie = 42, loss = 19
win = 282, tie = 42, loss = 20
win = 283, tie = 42, loss = 20
win = 284, tie = 42, loss = 20
win = 284, tie = 42, loss = 21
win = 285, tie = 42, loss = 21
win = 285, tie = 43, loss = 21
win = 285, tie = 44, loss = 21
win = 286, tie = 44, loss = 21
win = 286, tie = 44, loss = 22
win = 286, tie = 44, loss = 23
win = 287, tie = 44, loss = 23
win = 288, tie = 44, loss = 23
win = 289, tie = 44, loss = 23
win = 290, tie = 44, loss = 23
win = 290, tie = 45, loss = 23
win = 291, tie = 45, loss = 23
win = 292, tie = 45, loss = 23
win = 293, tie = 45, loss = 23
win = 293, tie = 45, loss = 24
win = 294, tie = 45, loss = 24
win = 295, tie = 45, loss = 24
win = 296, tie = 45, loss = 24
win = 297, tie = 45, loss = 24
win = 298, tie = 45, loss = 24
win = 299, tie = 45, loss = 24
win = 299, tie = 45, loss = 25
win = 300, tie = 45, loss = 25
win = 301, tie = 45, loss = 25
win = 302, tie = 45, loss = 25
win = 303, tie = 45, loss = 25
win = 304, tie = 45, loss = 25
win = 304, tie = 46, loss = 25
win = 305, tie = 46, loss = 25
win = 306, tie = 46, loss = 25
win = 307, tie = 46, loss = 25
win = 308, tie = 46, loss = 25
win = 308, tie = 46, loss = 26
win = 309, tie = 46, loss = 26
win = 309, tie = 47, loss = 26
win = 310, tie = 47, loss = 26
win = 311, tie = 47, loss = 26
win = 312, tie = 47, loss = 26
win = 313, tie = 47, loss = 26
win = 314, tie = 47, loss = 26
win = 315, tie = 47, loss = 26
win = 316, tie = 47, loss = 26
win = 317, tie = 47, loss = 26
win = 318, tie = 47, loss = 26
win = 319, tie = 47, loss = 26
win = 320, tie = 47, loss = 26
win = 320, tie = 47, loss = 27
win = 321, tie = 47, loss = 27
win = 321, tie = 47, loss = 28
win = 322, tie = 47, loss = 28
win = 323, tie = 47, loss = 28
win = 323, tie = 48, loss = 28
win = 324, tie = 48, loss = 28
win = 325, tie = 48, loss = 28
win = 326, tie = 48, loss = 28
win = 327, tie = 48, loss = 28
win = 328, tie = 48, loss = 28
win = 329, tie = 48, loss = 28
win = 330, tie = 48, loss = 28
win = 331, tie = 48, loss = 28
win = 332, tie = 48, loss = 28
win = 333, tie = 48, loss = 28
win = 333, tie = 49, loss = 28
win = 334, tie = 49, loss = 28
win = 334, tie = 50, loss = 28
win = 334, tie = 51, loss = 28
win = 335, tie = 51, loss = 28
win = 335, tie = 52, loss = 28
win = 336, tie = 52, loss = 28
win = 337, tie = 52, loss = 28
win = 338, tie = 52, loss = 28
win = 338, tie = 52, loss = 29
win = 339, tie = 52, loss = 29
win = 340, tie = 52, loss = 29
win = 341, tie = 52, loss = 29
win = 342, tie = 52, loss = 29
win = 343, tie = 52, loss = 29
win = 344, tie = 52, loss = 29
win = 345, tie = 52, loss = 29
win = 345, tie = 52, loss = 30
win = 346, tie = 52, loss = 30
win = 347, tie = 52, loss = 30
win = 348, tie = 52, loss = 30
win = 349, tie = 52, loss = 30
win = 350, tie = 52, loss = 30
win = 351, tie = 52, loss = 30
win = 352, tie = 52, loss = 30
win = 352, tie = 52, loss = 31
win = 352, tie = 53, loss = 31
win = 353, tie = 53, loss = 31
win = 354, tie = 53, loss = 31
win = 355, tie = 53, loss = 31
win = 356, tie = 53, loss = 31
win = 357, tie = 53, loss = 31
win = 358, tie = 53, loss = 31
win = 359, tie = 53, loss = 31
win = 359, tie = 53, loss = 32
win = 360, tie = 53, loss = 32
win = 360, tie = 54, loss = 32
win = 361, tie = 54, loss = 32
win = 361, tie = 55, loss = 32
win = 362, tie = 55, loss = 32
win = 363, tie = 55, loss = 32
win = 363, tie = 56, loss = 32
win = 364, tie = 56, loss = 32
win = 365, tie = 56, loss = 32
win = 366, tie = 56, loss = 32
win = 367, tie = 56, loss = 32
win = 368, tie = 56, loss = 32
win = 369, tie = 56, loss = 32
win = 370, tie = 56, loss = 32
win = 371, tie = 56, loss = 32
win = 372, tie = 56, loss = 32
win = 373, tie = 56, loss = 32
win = 374, tie = 56, loss = 32
win = 375, tie = 56, loss = 32
win = 376, tie = 56, loss = 32
win = 376, tie = 56, loss = 33
win = 377, tie = 56, loss = 33
win = 378, tie = 56, loss = 33
win = 379, tie = 56, loss = 33
win = 380, tie = 56, loss = 33
win = 380, tie = 56, loss = 34
win = 380, tie = 56, loss = 35
win = 381, tie = 56, loss = 35
